"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"SGBX","SG Blocks, Inc.","0.2498","$1.5M","2017","Consumer Services","RETAIL: Building Materials","https://old.nasdaq.com/symbol/sgbx",
"SGOC","SGOCO Group, Ltd","0.9427","$75.44M","2010","Technology","Radio And Television Broadcasting And Communications Equipment","https://old.nasdaq.com/symbol/sgoc",
"SMED","Sharps Compliance Corp.","4.1265","$66.63M","n/a","Basic Industries","Environmental Services","https://old.nasdaq.com/symbol/smed",
"SHSP","SharpSpring, Inc.","11.19","$128.78M","n/a","Technology","Computer Software: Prepackaged Software","https://old.nasdaq.com/symbol/shsp",
"SHEN","Shenandoah Telecommunications Co","37.69","$1.88B","n/a","Public Utilities","Telecommunications Equipment","https://old.nasdaq.com/symbol/shen",
"PIXY","ShiftPixy, Inc.","0.2351","$8.51M","2017","Technology","Diversified Commercial Services","https://old.nasdaq.com/symbol/pixy",
"SHLO","Shiloh Industries, Inc.","3.88","$92.31M","1993","Capital Goods","Industrial Specialties","https://old.nasdaq.com/symbol/shlo",
"TYHT","Shineco, Inc.","0.7166","$19.59M","2016","Consumer Non-Durables","Farming/Seeds/Milling","https://old.nasdaq.com/symbol/tyht",
"SWAV","ShockWave Medical, Inc.","38.99","$1.1B","2019","Health Care","Medical/Dental Instruments","https://old.nasdaq.com/symbol/swav",
"SCVL","Shoe Carnival, Inc.","35.76","$524.66M","1993","Consumer Services","Clothing/Shoe/Accessory Stores","https://old.nasdaq.com/symbol/scvl",
"SHBI","Shore Bancshares Inc","16.45","$208.72M","n/a","Finance","Major Banks","https://old.nasdaq.com/symbol/shbi",
"SSTI","ShotSpotter, Inc.","23.57","$270.52M","2017","Technology","Computer Software: Prepackaged Software","https://old.nasdaq.com/symbol/ssti",
"SIBN","SI-BONE, Inc.","17.31","$429.31M","2018","Health Care","Medical/Dental Instruments","https://old.nasdaq.com/symbol/sibn",
"SIEB","Siebert Financial Corp.","10.03","$272.39M","n/a","Finance","Investment Bankers/Brokers/Service","https://old.nasdaq.com/symbol/sieb",
"SNNA","Sienna Biopharmaceuticals, Inc.","0.255","$7.88M","2017","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/snna",
"SIEN","Sientra, Inc.","8.2","$405.75M","2014","Health Care","Industrial Specialties","https://old.nasdaq.com/symbol/sien",
"BSRR","Sierra Bancorp","26.74","$408.93M","n/a","Finance","Major Banks","https://old.nasdaq.com/symbol/bsrr",
"SRRA","Sierra Oncology, Inc.","0.4769","$184.45M","2015","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/srra",
"SWIR","Sierra Wireless, Inc.","8.75","$316.72M","n/a","Technology","Radio And Television Broadcasting And Communications Equipment","https://old.nasdaq.com/symbol/swir",
"SIFY","Sify Technologies Limited","1.34","$240.05M","n/a","Technology","Computer Software: Programming, Data Processing","https://old.nasdaq.com/symbol/sify",
"SIGA","SIGA Technologies Inc.","4.63","$375.37M","n/a","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/siga",
"SGLB","Sigma Labs, Inc.","1.12","$15.47M","n/a","Consumer Durables","Miscellaneous manufacturing industries","https://old.nasdaq.com/symbol/sglb",
"SGLBW","Sigma Labs, Inc.","0.37","n/a","n/a","Consumer Durables","Miscellaneous manufacturing industries","https://old.nasdaq.com/symbol/sglbw",
"SGMA","SigmaTron International, Inc.","4.51","$19.13M","1994","Technology","Electrical Products","https://old.nasdaq.com/symbol/sgma",
"SBNY","Signature Bank","123.03","$6.64B","2004","Finance","Major Banks","https://old.nasdaq.com/symbol/sbny",
"SLGN","Silgan Holdings Inc.","30.34","$3.36B","1997","Consumer Durables","Containers/Packaging","https://old.nasdaq.com/symbol/slgn",
"SILC","Silicom Ltd","32.35","$244.57M","n/a","Technology","Computer Communications Equipment","https://old.nasdaq.com/symbol/silc",
"SLAB","Silicon Laboratories, Inc.","104.64","$4.54B","2000","Technology","Semiconductors","https://old.nasdaq.com/symbol/slab",
"SIMO","Silicon Motion Technology Corporation","43.03","$1.57B","2005","Technology","Semiconductors","https://old.nasdaq.com/symbol/simo",
"SILK","Silk Road Medical, Inc.","34.8","$1.07B","2019","Health Care","Medical/Dental Instruments","https://old.nasdaq.com/symbol/silk",
"SSPK","Silver Spike Acquisition Corp.","9.91","$247.75M","2019","Finance","Business Services","https://old.nasdaq.com/symbol/sspk",
"SSPKU","Silver Spike Acquisition Corp.","10.12","$253M","2019","Finance","Business Services","https://old.nasdaq.com/symbol/sspku",
"SSPKW","Silver Spike Acquisition Corp.","0.5705","$11.12M","2019","Finance","Business Services","https://old.nasdaq.com/symbol/sspkw",
"SAMG","Silvercrest Asset Management Group Inc.","12.17","$174.77M","2013","Finance","Investment Managers","https://old.nasdaq.com/symbol/samg",
"SSNT","SilverSun Technologies, Inc.","3.64","$16.38M","n/a","Miscellaneous","Business Services","https://old.nasdaq.com/symbol/ssnt",
"SFNC","Simmons First National Corporation","25","$2.85B","n/a","Finance","Major Banks","https://old.nasdaq.com/symbol/sfnc",
"SLP","Simulations Plus, Inc.","32.37","$567.49M","n/a","Technology","EDP Services","https://old.nasdaq.com/symbol/slp",
"SINA","Sina Corporation","35.1","$2.43B","n/a","Technology","Computer Software: Prepackaged Software","https://old.nasdaq.com/symbol/sina",
"SBGI","Sinclair Broadcast Group, Inc.","34.11","$3.14B","1995","Consumer Services","Broadcasting","https://old.nasdaq.com/symbol/sbgi",
"SINO","Sino-Global Shipping America, Ltd.","0.4925","$8.2M","n/a","Transportation","Oil Refining/Marketing","https://old.nasdaq.com/symbol/sino",
"SVA","Sinovac Biotech, Ltd.","6.47","$460.25M","n/a","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/sva",
"SINT","SiNtx Technologies, Inc.","1.47","$3.58M","2014","Health Care","Medical/Dental Instruments","https://old.nasdaq.com/symbol/sint",
"SG","Sirius International Insurance Group, Ltd.","8.7163","$1B","n/a","Finance","Property-Casualty Insurers","https://old.nasdaq.com/symbol/sg",
"SIRI","Sirius XM Holdings Inc.","6.78","$29.99B","n/a","Consumer Services","Broadcasting","https://old.nasdaq.com/symbol/siri",
"SITM","SiTime Corporation","16.74","n/a","2019","Technology","Semiconductors","https://old.nasdaq.com/symbol/sitm",
"SITO","SITO Mobile, Ltd.","0.385","$9.87M","n/a","Miscellaneous","Business Services","https://old.nasdaq.com/symbol/sito",
"SKYS","Sky Solar Holdings, Ltd.","1.52","$12.75M","2014","Public Utilities","Electric Utilities: Central","https://old.nasdaq.com/symbol/skys",
"SKYW","SkyWest, Inc.","61.29","$3.09B","1986","Transportation","Air Freight/Delivery Services","https://old.nasdaq.com/symbol/skyw",
"SWKS","Skyworks Solutions, Inc.","97.44","$16.73B","n/a","Technology","Semiconductors","https://old.nasdaq.com/symbol/swks",
"SNBR","Sleep Number Corporation","46.17","$1.31B","n/a","Consumer Durables","Home Furnishings","https://old.nasdaq.com/symbol/snbr",
"SLM","SLM Corporation","8.39","$3.54B","n/a","Finance","Finance: Consumer Services","https://old.nasdaq.com/symbol/slm",
"SLMBP","SLM Corporation","52.58","$210.32M","n/a","Finance","Finance: Consumer Services","https://old.nasdaq.com/symbol/slmbp",
"SGH","SMART Global Holdings, Inc.","29.32","$696.25M","2017","Technology","Semiconductors","https://old.nasdaq.com/symbol/sgh",
"SND","Smart Sand, Inc.","2.28","$94.21M","2016","Basic Industries","Mining & Quarrying of Nonmetallic Minerals (No Fuels)","https://old.nasdaq.com/symbol/snd",
"SMBK","SmartFinancial, Inc.","22.26","$310.79M","n/a","Finance","Major Banks","https://old.nasdaq.com/symbol/smbk",
"SDC","SmileDirectClub, Inc.","9.3","$3.58B","2019","Health Care","Medical/Dental Instruments","https://old.nasdaq.com/symbol/sdc",
"SMSI","Smith Micro Software, Inc.","4.63","$178.27M","1995","Technology","Computer Software: Prepackaged Software","https://old.nasdaq.com/symbol/smsi",
"SMTX","SMTC Corporation","2.99","$83.78M","2000","Technology","Electrical Products","https://old.nasdaq.com/symbol/smtx",
"SCKT","Socket Mobile, Inc.","1.5801","$9.48M","n/a","Technology","Computer Manufacturing","https://old.nasdaq.com/symbol/sckt",
"GIGE","SoFi Gig Economy ETF","18.08","$7.23M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/gige",
"SAQNU","Software Acquisition Group Inc.","10.11","n/a","2019","Finance","Business Services","https://old.nasdaq.com/symbol/saqnu",
"SOHU","Sohu.com Limited ","9.84","$386.01M","n/a","Technology","EDP Services","https://old.nasdaq.com/symbol/sohu",
"SLRC","Solar Capital Ltd.","20.47","$865.08M","2010","n/a","n/a","https://old.nasdaq.com/symbol/slrc",
"SUNS","Solar Senior Capital Ltd.","17.98","$288.49M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/suns",
"SEDG","SolarEdge Technologies, Inc.","88.04","$4.28B","2015","Technology","Semiconductors","https://old.nasdaq.com/symbol/sedg",
"SLNO","Soleno Therapeutics, Inc.","1.58","$70.56M","2014","Health Care","Biotechnology: Electromedical & Electrotherapeutic Apparatus","https://old.nasdaq.com/symbol/slno",
"SLGL","Sol-Gel Technologies Ltd.","8.3","$169.22M","2018","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/slgl",
"SLDB","Solid Biosciences Inc.","4.33","$199.13M","2018","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://old.nasdaq.com/symbol/sldb",
"SNGX","Soligenix, Inc.","1.0091","$20.49M","n/a","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/sngx",
"SNGXW","Soligenix, Inc.","0.15","n/a","n/a","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/sngxw",
"SOLY","Soliton, Inc.","10.7","$181.17M","2019","Health Care","Medical/Dental Instruments","https://old.nasdaq.com/symbol/soly",
"SONM","Sonim Technologies, Inc.","2.4","$48.86M","2019","Public Utilities","Telecommunications Equipment","https://old.nasdaq.com/symbol/sonm",
"SNOA","Sonoma Pharmaceuticals, Inc.","4.1","$5.45M","n/a","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/snoa",
"SNOAW","Sonoma Pharmaceuticals, Inc.","0.005","n/a","n/a","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/snoaw",
"SONO","Sonos, Inc.","13.24","$1.41B","2018","Consumer Non-Durables","Consumer Electronics/Appliances","https://old.nasdaq.com/symbol/sono",
"SPHS","Sophiris Bio, Inc.","0.373","$12.86M","2013","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/sphs",
"SORL","SORL Auto Parts, Inc.","4.4","$84.94M","n/a","Capital Goods","Auto Parts:O.E.M.","https://old.nasdaq.com/symbol/sorl",
"SRNE","Sorrento Therapeutics, Inc.","3.73","$529.18M","n/a","Health Care","Biotechnology: Commercial Physical & Biological Resarch","https://old.nasdaq.com/symbol/srne",
"SOHO","Sotherly Hotels Inc.","6.59","$93.73M","n/a","Consumer Services","Real Estate Investment Trusts","https://old.nasdaq.com/symbol/soho",
"SOHOB","Sotherly Hotels Inc.","25.95","$41.78M","n/a","Consumer Services","Real Estate Investment Trusts","https://old.nasdaq.com/symbol/sohob",
"SOHON","Sotherly Hotels Inc.","26.35","$28.46M","n/a","Consumer Services","Real Estate Investment Trusts","https://old.nasdaq.com/symbol/sohon",
"SOHOO","Sotherly Hotels Inc.","25.753","$34.82M","n/a","Consumer Services","Real Estate Investment Trusts","https://old.nasdaq.com/symbol/sohoo",
"SFBC","Sound Financial Bancorp, Inc.","36.46","$93.54M","n/a","Finance","Savings Institutions","https://old.nasdaq.com/symbol/sfbc",
"SMMC","South Mountain Merger Corp.","9.87","$308.44M","2019","Finance","Business Services","https://old.nasdaq.com/symbol/smmc",
"SMMCU","South Mountain Merger Corp.","10.22","$319.38M","2019","Finance","Business Services","https://old.nasdaq.com/symbol/smmcu",
"SMMCW","South Mountain Merger Corp.","0.9","n/a","2019","Finance","Business Services","https://old.nasdaq.com/symbol/smmcw",
"SPFI","South Plains Financial, Inc.","18.93","$340.82M","2019","Finance","Major Banks","https://old.nasdaq.com/symbol/spfi",
"SSB","South State Corporation","82.49","$2.78B","n/a","Finance","Major Banks","https://old.nasdaq.com/symbol/ssb",
"SFST","Southern First Bancshares, Inc.","42.3","$322.26M","n/a","Finance","Major Banks","https://old.nasdaq.com/symbol/sfst",
"SMBC","Southern Missouri Bancorp, Inc.","36.84","$338.99M","n/a","Finance","Banks","https://old.nasdaq.com/symbol/smbc",
"SONA","Southern National Bancorp of Virginia, Inc.","15.68","$379.17M","n/a","Finance","Major Banks","https://old.nasdaq.com/symbol/sona",
"SBSI","Southside Bancshares, Inc.","34.7","$1.17B","n/a","Finance","Major Banks","https://old.nasdaq.com/symbol/sbsi",
"SY","So-Young International Inc.","12.38","$1.27B","2019","Technology","EDP Services","https://old.nasdaq.com/symbol/sy",
"SP","SP Plus Corporation","43.51","$998.5M","n/a","Consumer Services","Rental/Leasing Companies","https://old.nasdaq.com/symbol/sp",
"SGRP","SPAR Group, Inc.","1.14","$23.77M","n/a","Miscellaneous","Business Services","https://old.nasdaq.com/symbol/sgrp",
"SPKE","Spark Energy, Inc.","10.78","$379.24M","2014","Public Utilities","Power Generation","https://old.nasdaq.com/symbol/spke",
"SPKEP","Spark Energy, Inc.","25.3386","$93.94M","n/a","Public Utilities","Power Generation","https://old.nasdaq.com/symbol/spkep",
"ONCE","Spark Therapeutics, Inc.","110.89","$4.27B","2015","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://old.nasdaq.com/symbol/once",
"SPAR","Spartan Motors, Inc.","17.41","$615.15M","n/a","Capital Goods","Auto Manufacturing","https://old.nasdaq.com/symbol/spar",
"SPTN","SpartanNash Company","14.535","$528.12M","n/a","Consumer Non-Durables","Food Distributors","https://old.nasdaq.com/symbol/sptn",
"DWFI","SPDR Dorsey Wright Fixed Income Allocation ETF","23.4","$118.76M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/dwfi",
"SPPI","Spectrum Pharmaceuticals, Inc.","9.14","$1.03B","n/a","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/sppi",
"SPRO","Spero Therapeutics, Inc.","11.23","$214.81M","2017","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/spro",
"ANY","Sphere 3D Corp.","0.8134","$2.98M","n/a","Technology","EDP Services","https://old.nasdaq.com/symbol/any",
"SPEX","Spherix Incorporated","1.12","$2.64M","n/a","Miscellaneous","Multi-Sector Companies","https://old.nasdaq.com/symbol/spex",
"SPI","SPI Energy Co., Ltd.","2.01","$29.17M","n/a","Technology","Semiconductors","https://old.nasdaq.com/symbol/spi",
"SAVE","Spirit Airlines, Inc.","38.02","$2.6B","n/a","Transportation","Air Freight/Delivery Services","https://old.nasdaq.com/symbol/save",
"STXB","Spirit of Texas Bancshares, Inc.","22.07","$402.15M","2018","Finance","Major Banks","https://old.nasdaq.com/symbol/stxb",
"SPLK","Splunk Inc.","148.09","$22.86B","2012","Technology","Computer Software: Prepackaged Software","https://old.nasdaq.com/symbol/splk",
"SPOK","Spok Holdings, Inc.","12.05","$227.2M","n/a","Public Utilities","Telecommunications Equipment","https://old.nasdaq.com/symbol/spok",
"SPWH","Sportsman&#39;s Warehouse Holdings, Inc.","7.15","$309.09M","2014","Consumer Services","Other Specialty Stores","https://old.nasdaq.com/symbol/spwh",
"SBPH","Spring Bank Pharmaceuticals, Inc.","3.95","$65.08M","2016","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/sbph",
